SQ1174	SQ1670	SQ2557	SQ2572	SQ2921	SQ3197	SQ3529	SQ3624	SQ4172	SQ4389	SQ5897	SQ6147	SQ7324	SQ10	SQ13	SQ14	SQ20	SQ4	SQ5	SQ6	SQ8
6683.12	3998.55	6811.04	3683.61	6124.75	7035.16	4537.43	4740.26	5789.55	2464.64	3876.34	6493.65	5399.65	3178.83	3660.38	1515.93	805.63	5534.2	3599.23	1791.61	3655.92
-1.22	268.49	-12.04	-15.14	86.37	25.27	267.42	157.45	45.24	62.58	-18.58	235.79	433.48	-2.43	59.73	395.68	43.82	168.36	40.55	-21.1	197.32
399.74	1419.37	535.1	10.19	305.9	724.13	185.76	1530.31	87.69	55.36	-6.51	218.24	347.24	27.49	39.57	244.79	908.27	198.4	2194.57	5.43	52.95
-4.38	79.47	43.87	3.48	11.44	52.86	26.27	-0.29	-4.58	90.16	-10.28	79.16	-20.02	11.32	113.11	1.56	125.63	-3.29	21.19	-17.31	-15.63
-8.59	-17.89	-4.39	-6.95	-8.2	-5.86	1	0.49	-14.38	-2.3	-8.77	-3.64	-20.9	11.32	-15.82	-4.32	-19.37	-1.85	-17.51	-22.37	-23.4
130.14	150.75	172.98	195.55	134.52	218.11	137.19	159.03	102.39	163.31	172.22	97.49	95.58	246.05	112.39	253.52	71.08	196.2	171.53	154.84	190.16
36.62	13.56	36.2	28.82	16.79	59.99	160.26	62.24	84.43	10.79	72.81	67.82	137.64	22.64	45.33	55.38	8.57	27.66	52.18	-10.36	21.13
521.16	908.07	887.5	1289.26	1086.53	498.09	1017.06	911.36	361.47	432	1014.96	489.2	568.12	417.84	507.44	520.59	322.17	501.23	1064.79	1342.47	809.4
167.95	220.05	213.66	339.8	231.76	223.49	132.42	88.12	153.04	128.33	100.82	46.89	176.23	94.64	182.7	312.69	248.38	55.79	295.39	268.57	133.8
110.18	87.72	135.65	101.19	53.37	76.91	151.5	149.54	128.53	125.04	51.63	170.05	38.66	62.28	205.29	274.17	166.26	158.13	64.45	40.76	155.87
-26.46	-404.14	-254.95	-214.68	200.52	257.62	-323.99	248.09	-166.52	766.49	-359.76	-97.59	-120.84	-300.69	-367.42	-285.98	616.29	-262.4	-531.36	-140.84	-76.43
89.17	38.27	88.49	51.93	68.53	40.4	65.01	52.06	45.24	54.05	30.48	37.3	57.92	207.98	43.17	64.3	47.81	71.68	30.23	17.42	50.83
43.98	119.22	73.85	61.63	112.23	92.95	93.53	75.57	31.35	70.45	73.56	95.74	51.79	77.65	118.17	64.3	63.1	55.06	54.11	139.71	46.58
33.47	20.3	67.69	51.19	39.1	42.18	17.58	25.47	55.03	86.22	44.08	34.69	40.41	127.01	65.5	32.25	65.76	43.52	10.87	81.74	32.44
-58.02	-56.09	-60.14	-42.7	-43.02	-48.53	-53.42	-34.58	-55.25	-28.48	-40.45	-30.62	-50.69	-50.14	-28.76	-73.45	-47.32	-42.08	-47.18	-52.09	-60.17
221.49	209.48	347.93	342.08	210.34	192.12	295.58	306.74	210.29	189.77	288.69	277.96	241.27	281.7	284.53	171.48	178.25	289.34	255.58	216.69	386.57
6.14	2.33	66.15	15.4	2.51	59.99	67.39	36.42	30.54	45.52	4.05	11.16	-10.38	112.44	15.83	126.59	-1.41	10.38	-3.32	-1.52	11.94
159.55	198.17	194.07	222.62	254.08	120.61	366.74	343.17	218.48	326.5	224.91	355.49	156.93	379.75	213.32	281.71	228.98	198.4	227.87	233.75	341.56
2.98	-2.91	-2.86	1.25	-1.95	14.6	16.79	1.27	7.67	46.18	3.3	23.36	22.89	33.96	-6.47	28.7	8.57	47.85	16.03	-7.83	-10.68
89.17	112.46	145.74	203.07	118.47	349.64	371.61	87.34	207.83	12.76	106.12	63.46	223.67	48.52	38.85	79.2	0.59	102.82	150.02	1.64	35.97
-41.19	-51.6	-20.44	-41.21	-51.06	-14.75	-61.31	-47.82	-55.25	-28.48	-48.75	-7.99	-56.83	-55.8	-30.2	-102	-3.4	-52.12	-52.34	-60.96	-58.05
21.91	39.77	86.17	-0.99	-6.42	-17.42	72.93	-21.34	85.24	-7.54	65.24	18.13	-13.01	143.2	22.3	82.78	60.44	88.33	21.19	59.68	80.56
-12.79	-19.39	-12.8	-16.63	-21.59	6.59	3.36	-7.31	13.39	-0.34	-1.98	25.97	-10.38	8.89	-15.1	-4.91	-24.03	-14.79	-14.93	-22.37	-26.94
-5.43	-6.66	-9.74	-10.67	-15.34	-5.86	-2.16	-2.63	-7.03	-0.34	7.83	12.91	-20.9	52.57	-14.38	-5.5	-18.71	-9.76	-16.87	-18.58	-25.53
-12.79	-45.6	-51.75	-42.7	-21.59	-25.42	-54.21	-1.85	-9.48	-38.29	-36.68	11.16	-48.06	-16.99	-49.62	-30.75	-46.66	-32.75	-47.82	-43.24	-54.51
-24.36	-48.6	38.5	-13.65	-26.95	21.71	-28.2	-1.85	-28.28	-21.28	-21.6	-21.05	-49.81	-21.03	20.15	-8.44	-41.33	-25.57	-36.86	-22.37	-44.61
406.03	225.34	227.8	447.5	414.27	334.26	296.39	216.16	727.61	140.86	831.41	265.65	890.96	254.15	188.53	305.08	140.94	190.33	322.79	116.4	177.29
4651.62	3877.44	2501.21	3031.55	3529.95	3355.88	2898.65	3957.15	4076	2922.95	1740.59	1850.17	4036.14	339.23	3663.3	3764.8	4362.93	1880.63	3524.12	932.46	4312.71
-3.33	39.77	11.68	22.11	40.88	100.98	18.37	8.29	68.91	21.27	4.05	5.07	64.05	27.49	-1.43	41.14	-3.4	6.78	81.26	2.9	-28.35
-3.33	-11.15	-2.1	-6.95	-12.66	-3.19	-9.26	-15.88	-14.38	-1.65	-17.07	8.55	-4.25	6.46	-3.59	-0.2	-10.72	-14.79	-9.13	-23.63	-17.75
48.19	26.29	32.36	78.04	32.85	26.16	36.54	30.94	9.31	18	114.46	87.01	29.9	79.27	31.66	64.89	8.57	55.79	34.1	55.89	38.8
35.57	68.98	8.62	-7.69	76.56	85.82	57.89	43.46	68.1	13.41	54.66	30.33	33.4	3.23	-7.19	13.94	1.25	-7.61	95.5	6.06	24.66
424.88	2267.08	539.3	-6.95	415.16	736.3	276.27	918.54	188.2	52.08	-26.12	215.61	94.7	13.74	79.19	211.34	1912.92	124.61	2459.01	-9.1	20.42
329.53	50.26	97.74	70.58	157.71	295.44	40.49	207.41	89.33	103.97	4.05	17.26	88.57	44.48	45.33	162.34	55.12	544.07	118.18	-21.74	169.43
10.34	10.57	31.6	11.68	15.9	40.4	42.07	22.35	37.07	54.7	-5	27.72	16.77	23.45	36.7	32.25	13.22	13.97	22.48	24.99	5.57
-7.53	-8.9	-21.21	-0.99	-9.09	3.92	4.94	2.83	-14.38	2.93	3.3	6.81	-11.26	9.7	-12.22	13.94	-18.71	16.85	-3.32	-21.1	-28.35
19.8	18.8	33.9	10.19	5.19	25.27	21.53	13.76	57.48	27.17	13.87	18.13	13.26	26.68	13.67	38.77	-4.07	21.17	21.84	-4.04	-4.32
-22.26	-14.14	30.83	60.88	130.06	-43.2	46.82	-38.48	6.85	86.88	-13.3	-11.48	-20.9	30.73	23.74	-24.89	-32.02	235.95	153.93	-47.03	-43.2
578.64	2693.96	1338.51	35.53	1446.5	342.4	345.66	445.51	2707.12	296.98	5.56	219.99	647.91	181.26	271.26	517.2	916.87	134.8	3282.53	10.48	408.87
43.98	-6.66	33.13	7.21	-8.2	45.74	75.31	5.17	-20.92	1.62	-15.56	12.04	29.9	77.65	48.93	-43.64	24.53	0.3	-7.19	-12.89	6.28
15.6	9.07	12.44	13.17	3.4	-0.52	-1.37	-0.29	8.49	31.76	-5	0.71	27.27	34.77	-2.15	8.63	-22.7	39.91	9.58	28.78	-21.99
-15.95	-14.89	-17.39	-30.78	10.54	-15.64	-26.62	-26.79	-36.45	-7.54	118.26	-19.31	-27.91	-8.09	-27.32	-24.89	-26.03	-29.16	-23.96	1.01	-43.2
135.39	119.22	158.18	107.17	179.11	108.11	103.04	140.86	46.05	165.29	292.55	89.63	92.95	164.25	140.6	184.31	99.68	181.53	131.82	149.8	60.74
30.32	-6.66	-1.33	-15.14	-13.56	6.59	21.53	3.61	-29.91	12.76	5.56	34.69	27.27	82.5	52.53	-11.97	6.57	6.06	-7.84	15.53	-17.04
-20.15	-27.63	-28.08	-23.33	-29.63	-17.42	-40.81	-25.24	-23.37	-21.28	-33.67	-18.44	-37.54	-9.71	-38.83	-19.61	-37.34	-21.98	-36.86	-33.75	-45.32
120.69	140.24	155.85	160.3	109.55	158.12	189.75	134.54	116.27	126.36	76.59	121.07	154.3	202.31	161.63	256.01	100.35	192.53	107.81	84.89	123.84
2.98	-2.16	7.85	0.5	-11.77	-11.19	-11.63	20.01	-22.56	17.34	-20.09	-5.38	-17.39	16.17	25.18	-11.38	7.24	-4.01	-13.64	-27.42	6.28
-8.59	27.79	-5.16	-6.95	-12.66	12.82	-6.11	10.64	12.57	1.62	-17.07	19.88	-9.51	-3.24	-15.1	-2.56	17.21	-8.32	-7.84	-24.26	-6.44
18.75	13.56	33.9	17.64	16.79	50.19	44.45	30.16	38.7	33.07	30.48	19	36.03	18.6	10.08	21.61	6.57	31.26	23.77	-10.99	1.33
19.8	0.83	3.26	54.17	-0.17	26.16	3.36	-6.53	-8.67	8.17	20.66	9.42	4.5	21.83	-0.71	16.89	-11.39	-1.85	10.22	82.37	-7.85
39.78	-7.4	29.3	17.64	3.4	-9.42	42.86	11.42	-5.4	-0.99	5.56	-1.9	15.01	61.47	14.39	-20.78	-14.05	26.22	-7.84	5.43	-34.01
6982.32	3284	5634.82	4149.09	5384.26	6201.21	4829.79	5468.4	7245.06	1847.92	5282.43	6678.33	6497.52	1320.96	4962.28	3864.39	1207.36	3338.3	2575.64	1373.9	4349.87
2.98	-0.66	-7.45	-6.2	-5.52	6.59	0.21	5.95	11.76	3.59	-2.74	16.39	-9.51	26.68	-0.71	-1.38	-18.71	14.69	-9.77	-13.52	-9.27
-157.97	-47.85	-103.58	-41.95	-100.2	-45.86	-93.6	-47.04	-94.5	-144.18	-106.03	-101.07	-49.81	-152.79	-71.92	-135.71	54.46	-156.66	-42.02	-98.34	-150.03
3556.57	2567.97	1895.23	1117.74	2075.82	1874.38	2161.34	2882.52	2131.69	2738.07	1316.63	1511.73	2113.91	376.51	2282.58	1803.41	2205.35	1796.66	1901.1	335.89	2539.09
-12.79	-18.64	-14.33	-7.69	-13.56	-4.08	-8.47	-11.99	-14.38	-0.99	-14.06	-0.16	-19.14	15.36	-13.66	-6.68	-24.7	-12.64	-18.16	-15.42	-26.23
570.28	402.33	226.23	245.21	390.95	204.66	224.12	260.9	135.06	151.42	247.9	192.82	203.45	188.54	261.69	536.88	197.6	187.39	670.65	199.01	332.02
-14.9	-14.89	-24.26	2.74	-15.34	-11.19	-2.16	0.49	5.22	-6.23	-17.07	-1.9	-20.02	10.51	-6.47	-6.68	19.88	16.85	-10.42	-19.84	-26.23
37.67	33.03	40.04	55.66	17.68	28.83	25.48	17.66	8.49	65.2	44.08	42.53	40.41	50.95	29.5	66.68	13.22	55.06	24.42	43.28	22.54
4.03	13.56	19.34	14.66	-1.95	1.26	18.37	39.54	28.9	24.55	19.15	7.68	15.89	42.05	12.95	36.4	3.91	18.29	10.22	0.38	10.52
-22.26	-56.09	-27.32	-31.53	-9.09	14.6	-28.98	-16.66	-16.84	-6.88	-39.7	-14.09	-30.53	-15.37	-33.08	-11.97	-40.67	-6.89	-30.41	-38.81	-41.78
-7.53	-17.89	-14.33	-12.16	-19.81	-5.86	-6.11	-3.41	-16.84	2.28	-21.6	-1.03	-20.02	1.61	-15.82	2.74	-29.35	-6.89	-21.38	-17.94	-24.11
6179.8	2728.21	4785.59	3842.85	4105.31	5096.46	4008.25	3921.49	4911.49	2248.41	4046.45	4972.1	4836.76	2019.31	3967.71	3591.34	872.5	3686.43	2114.1	1217.97	3950.11
54.49	19.55	-2.1	42.24	25.71	3.92	43.65	34.85	16.66	66.52	29.72	33.82	36.03	25.07	1.44	76.81	42.49	-7.61	36.03	30.67	38.8
202.59	48.76	98.52	19.87	204.09	88.5	22.32	62.24	200.47	342.64	15.38	54.74	15.89	59.04	207.48	241.06	554.79	59.4	65.74	-5.94	254.16
24.01	6.82	3.26	16.89	2.51	-11.19	-3.74	2.83	-14.38	40.28	17.64	6.81	7.13	48.52	-4.31	18.66	-12.05	1.74	6.35	68.5	-19.87
-18.05	-22.38	-5.92	-25.57	-22.48	19.04	-10.84	-33.8	-8.67	-8.85	-21.6	-17.57	-30.53	-3.24	-23.73	17.48	-32.68	-35.62	-24.6	-33.75	-33.3
58.7	406.96	41.57	-21.84	180.9	207.35	208.12	203.43	144.05	156.04	-28.39	56.48	100.83	25.07	4.32	290.54	480.04	119.52	153.93	-31.85	173
-50.65	-29.12	-99.77	-70.25	-89.47	-76.08	-81	-72.71	-21.74	-55.95	-70.61	-30.62	-75.24	25.87	-48.9	-23.71	-16.04	-58.58	-97.5	-11.62	-83.51
7.19	47.26	39.27	-16.63	14.11	19.04	23.11	11.42	49.32	59.3	33.5	24.23	19.39	58.23	44.61	29.3	15.22	150.1	26.35	43.91	8.4
224.64	171.81	200.33	96.71	104.2	182.27	121.3	95.98	240.6	103.31	60.7	80.91	192.91	161.01	226.48	184.31	106.33	110.08	238.41	42.02	81.27
34.52	-4.41	20.1	48.2	15	102.76	34.17	20.79	32.99	-3.61	69.02	96.62	60.55	5.66	-0.71	-30.75	-18.04	-0.42	19.9	-20.47	-14.22
54.49	-0.66	7.85	-14.4	-16.23	11.93	-18.73	-27.57	-9.48	-31.75	-29.14	4.2	-20.9	12.93	-28.04	-21.37	-30.02	-27	10.22	-26.79	-35.42
99.68	66.74	60.77	48.95	41.77	45.74	80.06	58.33	76.26	88.19	27.46	52.12	66.68	74.41	42.45	177.58	41.82	128.25	69.62	131.52	178.72
130.14	168.8	170.64	239.94	89.04	125.07	117.33	148.75	140.78	218.29	36.52	137.68	77.18	113.25	145.67	104.93	216.96	99.2	121.43	23.73	111.77
82.87	86.22	112.42	84.02	94.39	97.41	145.14	140.07	150.59	134.92	76.59	112.34	106.96	73.6	123.23	180.64	91.7	145.73	111.05	50.85	198.76
-106.41	-80.82	-89.87	-218.4	-193.15	-182.65	-122.73	-80.49	-109.23	-194.48	-210.73	-105.41	-70.85	-182.7	-44.58	-212.15	-72.63	-138.07	-96.21	-179.57	-120.3
294.93	353.88	454.55	208.33	264.79	336.06	512.35	447.99	196.38	251.55	159.28	273.56	198.18	295.47	415.18	413.33	322.84	322.2	271.47	164.93	462.11
107.03	62.24	70	140.08	130.06	90.28	192.15	89.69	116.27	69.14	59.95	131.56	98.2	101.11	51.81	23.38	17.88	26.22	91.62	100.01	69.94
-12.79	149.25	617.96	78.04	647.86	171.53	47.61	308.36	108.11	266.23	-27.63	2212.23	262.41	16.17	475.22	-30.17	1486.31	1692.25	-28.47	-35.01	55.78
72.36	223.83	52.32	93.72	43.56	12.82	84.02	45.8	50.95	4.9	-1.23	74.8	47.41	60.66	25.18	65.49	5.24	7.5	50.24	150.43	81.98
-27.51	9.82	-4.39	101.94	19.47	1.26	-48.7	59.89	10.12	68.49	4.81	-0.16	47.41	21.02	53.97	45.88	6.57	4.62	9.58	-41.97	-41.78
-13.84	-18.64	-8.21	-12.16	-18.02	7.48	-10.05	-8.09	-6.21	0.97	-15.56	-3.64	-20.9	15.36	-23.01	-3.74	-28.02	-13.35	-17.51	-26.79	-27.65
10.34	-2.16	22.4	1.25	7.87	39.51	9.68	0.49	9.31	67.17	-6.51	16.39	2.75	118.11	14.39	18.07	2.58	14.69	-6.55	-9.1	9.82
4.03	17.31	75.39	2.74	13.22	32.39	23.9	44.24	24.82	88.19	-14.06	16.39	0.13	28.3	42.45	38.17	-0.74	29.1	14.09	-2.78	49.41
14.55	7.57	36.2	18.38	18.57	114.36	87.19	32.51	21.56	107.26	122.81	33.82	15.89	54.19	43.17	93.54	7.24	53.62	32.81	11.74	6.28
-19.1	-19.39	-19.68	-18.12	-29.63	-22.75	-21.89	-15.88	-20.1	-6.88	-27.63	-8.86	-20.9	-7.28	-15.1	-19.61	-24.03	-21.98	-26.54	-24.26	-30.47
16.65	188.37	312.64	790.51	52.48	317.09	331.1	557.31	127.71	310.39	-4.25	334.32	185.01	14.55	199.46	139.28	340.34	121.7	97.44	-17.94	441.04
17.7	-2.16	11.68	9.44	13.22	21.71	16	11.42	19.92	22.58	13.87	19.88	26.4	28.3	7.92	13.35	1.92	16.85	2.48	-7.83	2.75
86.02	82.47	93.89	90.74	75.67	91.17	87.98	74	80.34	160	66	108.84	129.75	171.54	59.01	66.68	102.34	106.45	97.44	71.65	34.56
175.3	107.21	131	231.65	188.03	200.18	122.09	178.03	206.2	276.24	160.8	204.21	96.45	201.5	137.71	232.36	232.33	110.08	179.36	7.95	190.16
18.75	34.53	65.39	25.84	42.66	52.86	48.4	32.51	36.25	29.13	24.44	30.33	30.78	52.57	33.1	69.65	15.22	112.26	44.43	-5.94	13.35
38.73	36.78	40.04	24.35	11.44	17.27	20.74	31.73	-12.75	23.24	59.95	19	0.13	142.39	28.06	26.93	7.24	26.22	29.58	-4.68	7.7
-14.9	40.52	61.54	54.17	59.61	63.55	55.52	48.93	53.4	88.85	40.3	28.59	5.38	60.66	65.5	30.48	6.57	19.73	56.05	23.1	21.13
56.59	16.56	17.8	55.66	22.14	2.14	42.86	68.51	-3.76	21.93	55.41	65.2	70.18	87.36	27.34	124.79	30.52	43.52	43.14	56.53	100.41
-26.46	-37.36	-18.15	-24.08	-15.34	43.07	-36.08	-62.6	-32.36	-29.13	-41.21	-7.12	-20.02	-16.18	-26.6	-22.54	-36.01	19.73	-47.82	-49.56	-34.72
54.49	116.96	124.03	7.21	89.93	171.53	56.31	69.3	176.75	14.72	36.52	53.86	127.99	45.29	136.98	138.68	69.75	54.34	137.02	16.16	64.98
5.08	113.21	17.04	252.75	75.67	40.4	30.22	122.72	5.22	19.31	201.2	103.6	27.27	129.44	20.15	195.96	91.03	46.4	37.97	102.53	30.32
-27.51	-27.63	69.23	-94.82	-39.45	-133.82	-116.44	-176.74	-173.89	-118.05	-176.09	-191.41	-87.51	-123.7	-66.88	-189.02	35.17	-21.98	-91.69	-19.84	-72.9
11.39	12.81	15.51	2.74	-1.95	-2.3	20.74	9.08	15.84	27.17	1.79	25.1	-1.63	57.42	4.32	-0.79	13.89	-27.72	-4.61	93.71	-14.92
110.18	68.23	157.4	63.87	117.58	36.84	177.79	81.84	53.4	114.5	58.44	59.1	18.52	108.4	35.98	176.36	-8.06	150.1	103.92	28.15	180.86
125.94	129.72	673.76	289	170.19	290.93	389.49	217.76	162.85	334.57	-12.55	661.34	163.07	-0.81	499.75	69.06	43.82	398.39	582.14	-31.22	467.39
-25.41	-34.37	-12.8	-15.14	-48.38	-12.97	-23.46	-16.66	10.12	-7.54	-21.6	-16.7	-23.53	-8.9	-15.1	-100.26	-22.7	-16.23	23.77	-8.47	-18.46
10.34	-3.66	17.04	-17.38	-3.74	-12.97	31.8	-9.65	-17.65	-6.23	10.85	-3.64	-21.77	32.34	-26.6	10.4	-15.38	1.74	9.58	-24.9	-27.65
-36.98	16.56	-56.32	-32.27	3.4	-19.2	-4.53	-55.6	-6.21	-52.03	-5	-35.85	7.13	-44.48	-58.97	-35.44	-49.99	-47.82	107.16	-31.85	-45.32
