AD043	AD111	AD114	AD115	AD118	AD119	AD120	AD122	AD123	AD127	AD130	AD131	AD136	AD157	AD158	AD159	AD162	AD163	AD164	AD167	AD169	AD170	AD172	AD173	AD177	AD178	AD179	AD183	AD185	AD186	AD187	AD188	AD201	AD202	AD203	AD207	AD208	AD210	AD212	AD213	AD218	AD221	AD224	AD225	AD226	AD228	AD230	AD232	AD234	AD236	AD238	AD239	AD240	AD241	AD243	AD247	AD249	AD250	AD252	AD253	AD255	AD258	AD259	AD260	AD261	AD262	AD266	AD267	AD268	AD269	AD275	AD276	AD277	AD283	AD285	AD287	AD294	AD295	AD296	AD299	AD301	AD302	AD304	AD305	AD308	AD309	AD311	AD313	AD314	AD315	AD317	AD318	AD320	AD323	AD327	AD330	AD331	AD332	AD334	AD335	AD336	AD337	AD338	AD340	AD341	AD346	AD347	AD350	AD351	AD352	AD353	AD355	AD356	AD360	AD361	AD362	AD363	AD366	AD367	AD368	AD370	AD374	AD375	AD379	AD382	AD383	AD384	AD10	AD15	AD16	AD18	AD19	AD1	AD2	AD31	AD3	AD4	AD5	AD7
114.31	32.48	101.705	100.605	126.53	109.79	29.48	11.66	161.465	404.55	28.24	-30.515	964.3	121.345	91.365	51.9	-21.89	211.205	299.23	889.73	270.235	435.44	97.62	110.79	346.66	1880.63	431.55	55.615	7.82	174.69	-33.8	264.14	498.11	378.93	476.57	-38.39	889.9	140.62	448.57	174.2	680.13	528.24	392.32	106.32	2211.33	603.98	57.01	105.36	1673.05	427.18	98.99	207.36	87.04	513.96	3145.64	166.96	-5.83	60.26	333.7	130.93	739.787	292.665	543.22	171.28	2400.99	2250.74	84.07	690.91	96.28	-17.4	111.97	37.6	140.41	264.65	2039.92	-40.87	973.6	132.81	487.595	-73.31	37.605	-7.51	465	710.05	6.74	109.2	126.255	202.17	88.37	712.62	170.89	1147.4	128.35	369.19	312.57	341.92	314.86	530.31	616.14	415.875	4.28	141.88	242.445	599.23	153.92	772.02	421.31	1631.36	237.66	203.63	192.59	540.96	1406.94	-16.465	1157.26	100.12	3635.13	186.55	98.37	1536.88	597.74	69.56	27.855	645.785	25.625	23.165	17.115	1053.22	266.05	1447.72	164.79	67.7	1472.71	42.83	266.18	212.36	1203.09	44.92	483.56
-63.89	-2.56	-32.875	-26.5	-25.28	-3.7	-92.8	-39.64	3.725	145.84	-116.92	-80.39	-117.69	-76.67	-96.22	-99.06	-69.17	-95.005	-82.305	-98.09	-92.04	-90.5667	-173.66	-106.63	-78.06	-112.34	-100.15	-72.925	-26.24	-73.35	-144.735	-82.77	-65.09	-105.68	-127.165	-61.47	-78.22	-58.95	-44.17	-63.54	-105.96	-53.33	-102.07	-65.98	-90.84	-68.635	-116.4	-77.31	-13.48	-36.78	-72.96	-41.09	-115	-59.62	-92.435	-68.35	-86.23	-121.94	-46.74	-59.46	-91.2633	-72.47	-7.48	-69.925	-91.17	-98.745	-16.55	-57.73	-93.94	114.96	-81.64	-41.82	-18.19	-49.54	-108.69	-82.03	-80.21	-74.42	-83.835	-80.63	-113.215	-97.76	-94.05	-110.78	-94.81	-117.55	-88.475	-82.51	-92.16	-11.85	-50	-107.57	-118.07	-92.47	-88.315	-94.16	-85.23	-98.45	-88.18	-95.335	-106.55	-42.48	-86.335	-52.72	-65.47	-8.935	-71.3	-133.305	-69.85	-36.04	-32.95	-85.99	-113.39	1.965	-88.01	-100.62	-92.32	-11.24	19.4	-93.07	-20.52	-20.3	-45.04	-37.465	-77.26	-69.56	-18.96	-106.11	-68.96	-73.53	-93.92	-100.5	-82.22	-45.08	-113.23	-117.61	-68.52	-157.4	-80.71
100.51	116.35	276.795	110.89	362.42	423.85	206.755	107.46	100.495	778.43	159.02	101.235	249.96	124.37	473.64	236.41	411.76	110.095	217.615	93.57	163.375	1374.85	118.44	548.4	108.69	574.14	234.94	133.065	158.47	130.82	109.28	167.28	272.94	331.49	249.295	713.86	374.83	224.9	310.37	683.56	231.88	86.74	495.77	835.93	333.92	247.44	405.46	1792.66	350.41	79.85	153.66	1059.02	391.06	211.54	615.065	304.15	224.96	673.21	363.82	298.08	318.583	451.105	188.89	899.75	90.97	210.765	206.29	641.98	127.3	363.19	115.65	142.9	113.2	161.86	190.17	78.41	316.44	53.61	367.13	143.545	150.67	228.08	147.73	124.48	201.71	2364.19	205.375	182.67	306.63	527.72	1864.47	699.18	213.23	644.11	478.005	341.92	108.3	97.34	100.425	132.065	96.45	77.93	188.715	191.87	67.11	1131.19	246.455	330.74	186.04	99.8	679.41	202.12	2402.15	93.655	261.62	1685.24	727.87	331.45	109.81	76.74	147.11	81.41	221.765	67.955	179.015	159.25	77.045	229.08	154.82	194.62	551.68	589.82	518.98	90.56	108.16	277.04	1049.33	96.27	345.79
2164.97	1008.39	1277.4	1176.22	1157.8	867.55	1385.21	1243.18	830.015	1083.38	1754.87	1462.77	1113.03	1970.49	1839.05	1158.65	1372.45	1018.7	1662.89	1373.22	1283.59	1422.75	1415.49	1975.78	1167.01	888.585	1940.38	765.28	1263.9	1258.85	942.075	1495.67	1171.65	1664.28	2122.42	1530.51	1104.29	1876.51	1680.45	1037.23	730.27	1438.2	1409.04	1709.73	1284.59	1000.69	2484.66	938.33	941.55	1697.17	1482.17	1084.22	1075.84	1374.01	1008.61	1318.31	1276.83	1329.15	1104.81	948.83	1557.95	853.68	736.74	950.115	1270.24	1489.91	1498.95	1837.82	2034.94	1463.06	1823.59	1312.3	2277.75	1285.72	1171.8	1713.03	1237.07	1969.65	1315.82	988.005	1213.43	853.95	1498.27	1074.41	1447.18	1233.36	2063.37	2184.19	1748.78	1571.54	1036.36	1414.64	1038.19	1391.63	1422.98	991.08	1230.47	1515.39	1295.13	1119.67	1712.01	1706.17	1600.86	2586.91	1608.14	1414.29	1784.77	2236.49	1809.03	2280.89	1511.94	985.61	696.3	951.675	1260.55	1130.26	985.25	1909.76	2373.51	1028.45	1498.52	1580.86	1198.6	2154.86	1601.15	1638.1	1993.77	1041.3	1086.84	1094.16	1041.89	1064.04	622.13	1240.75	914.87	925.82	1059.89	1286.89	1478.75
363.88	318.78	403.48	373.14	370.46	350.42	559.515	350.21	374.945	303.44	357.37	433.775	449.64	296.515	406.685	512.15	490.53	476.555	489.505	369.035	585.555	426.21	346.89	411.64	286.95	363.67	350.45	415.33	468.98	557.93	306.685	365.65	363.92	346.69	399.99	390.6	299.16	353.96	439.38	387.29	377.74	227.68	204.28	422.93	292.02	344.58	467.03	330.55	303.09	463.86	298.42	282.66	365.87	267.55	291.38	313.09	486.06	386.4	499.73	276.22	449.647	496.373	324.15	322.815	421.59	301.335	374.83	357.53	450.96	296.06	519.37	433.355	325.88	381.22	219.11	503.08	344.33	459.2	418.98	432.65	458.355	349.675	476.8	356.07	533.64	215.48	430.245	363.98	275.87	398.73	228.8	432.37	374.12	312.95	347.475	406.34	359.05	433.49	429.245	479.645	291.23	556.87	346.045	417.92	451.995	292.5	361.425	308.83	346.38	313.62	365.94	390.58	370.63	364.015	413.32	351.78	307.47	377.93	363.09	351.22	238.48	343.9	311.13	291.095	385.88	484.705	326.55	332.23	347.1	467.53	407.22	380.02	359.23	402.02	198.6	412.07	342.03	314.29	379.41
-21.03	11.24	24.015	-6.31	-23.26	-11.9	81.325	-21.54	-12.985	-9.35	3.37	-34.08	-24.23	-23.145	12.35	-2.15	-34.13	4.895	-39.18	0.0500002	86.05	321.37	-8.37	1.53	-23.49	277.39	29.04	178.53	101.58	-22.7	3.9	78.81	39.5	14.96	46.205	-15.3	116.43	-0.27	-28.86	87.49	82.94	7.37	59.33	-2.23	11.7	8.69	-35.07	87.09	-27.4	-9.56	-24.6	247.05	-8.8	-15.6	48.33	-36.2	35.35	81.27	117.4	-12.52	-27.6167	11.8725	-32.19	23.705	-32.57	5.8	-10.06	41.62	-2.71667	16.92	-27.23	-12.06	-19.38	-4.49	7.81	-29.95	-3.27	-20.71	0.93	3.76	-23.325	29.825	-23.08	-44.58	-28.28	90.82	22.78	-18.15	4.32	9.97	18.16	71.13	-7.42	-10.65	299.87	108.85	248.55	142.86	-10.455	-41.19	-10.92	-25.3	63.38	22.285	4.32	11.535	22.575	31.785	59.32	12.19	226.86	-28.85	44.03	-2.72	-10.37	715.07	-12.84	488.67	13.68	1.65	44.58	-3.51	-32.36	13.655	1.055	13.995	13.675	-35.74	102.2	-31.98	-26.78	129.98	-12.45	-0.19	-21.78	-16.66	-35.02	-6.25	-19.72
-28.31	53.71	-8.02	-18.035	30.42	50.13	22.41	13.68	26.715	-1.12	-32.01	-46.225	-27.41	-63.225	-62.77	-26.67	-9.65	-76.7	-70.38	-31.86	-100.06	-45.5733	-32.32	-29.92	-50.35	-92.9	-58.715	-39.21	36.22	-53.26	-42.18	-7.18	-63.4	-4.19	-67.715	4.77	34.46	19.98	-69.37	-50.32	-66.34	-60.61	-57.57	-71.95	-3.24	70.45	-18.61	2.86	111.92	-65.54	207.37	-94.08	-116.77	-12.79	4.135	5.95	-70.87	-41.89	141.7	-32.91	-63.8433	-27.0575	-26.9	-41.095	-37.91	-27.96	24.56	-9.84	-45.9633	35.3	-57.66	70.875	-31.22	-26.43	-48.06	-77.83	-66.39	-74.42	-66.34	-56.725	-14.67	-85.29	-34.92	28.95	-108.35	-85.25	-27.91	-52.28	-82.75	16.2	13.23	-13.67	-83.34	58.91	-58.94	-63.99	-91.07	-87.41	32.055	-72.145	-71.71	-3.95	-71.985	-54.925	-61.43	-19.385	-20.635	-16.075	-14.15	66.96	-5.72	-115.26	-73.19	-36.895	-55.14	-73.24	-88.3	4.22	134.97	-9.97	28.04	-38.07	22.7	66.695	-7.87	-30.58	-28.535	-77.5	-71.72	-58.99	6.33	-90.68	15.68	38.16	-75.38	-55.86	-60.28	-87.36	-79.36
-30.73	33.54	-12.385	42.53	-18.19	-32.97	16.64	15.69	35.88	-3.47	-2.66	38.36	42.06	14.555	-4.025	28.01	-102.54	37.97	11.095	7.565	-13.845	-14.3567	31.645	121.91	6.09	-3.5	81.03	-9.58	36.22	5.48	-5.675	-8.92	-10.27	12.35	-20.77	11.79	-1.47	45.3	-0.95	-49.38	67.8	85.93	24.06	-4.22	7.72	64.895	106.5	-106.74	139.82	-11.9	-107.93	-57.39	25.78	7.8	-17.56	-11.2	-4.48	-12.15	-16.3	12.33	-17.81	-12.4675	19.03	-15.11	-34.57	-36.99	-12.22	-2.62	56.3633	29.18	19.79	-9.39	61.13	20.93	20.34	88.48	1.94	16.46	0.72	105.015	48.015	-10.035	-52.28	-16.45	-11.43	18.86	-42.895	24.75	23.27	27.62	13.23	-55.07	534.04	13.12	-23.635	-15.11	-15.77	-11.99	9.43	-23.675	-38.64	56.32	39.935	37.965	156.035	-2.3	-40.68	15.61	3.61	68.05	30.57	-19.56	-32.29	35.575	-39.05	-7.98	-20.86	-73.1	85.78	20.42	-7.28	-42.03	23.64	-8.78	-1.16	-35.115	51.15	15.99	-26.85	-18.82	-12.82	-21.7	16.66	-65.65	60.14	4.99	-27.41	63.7	10.09
1653.2	1737.75	2376.1	1645.41	2089.47	1467.91	1584.47	1371.58	1820.85	1857.63	2686.32	3050.815	1843.38	1586.09	1776.48	2042.84	1820.4	1847.47	1436.53	2135.27	1606.4	1919.19	1380.01	2321.13	1398.47	1559.19	2151.72	1794.43	1500.09	2434.41	1595.41	2061.29	1305.27	2256.79	1541.42	1843.43	1353.29	1607.53	1389.27	2528.29	1300.44	3059.53	1907.86	1990.8	1815.12	1991.73	2711.72	1626.01	1909.83	2357.52	1719.73	1543.7	2078.07	1772.08	1959.36	1490.46	1575.83	1775.85	1693.48	1265.49	1682.54	1758.8	1145.35	2104.27	1818.55	1839.61	1828.8	2146.11	2501.39	1703.13	2033.92	1673.78	2371.14	1750.35	1977.48	2022.07	1634.49	2190.08	2843.55	1966.19	1550.27	1061.92	1903.26	2011.67	2909.91	544.15	2246.57	1530.35	1747.94	1664.59	1683.19	1594.06	1450.68	1414.76	1409.46	2405.03	1824.18	1814.6	1461.65	1632.11	1740.33	1709.97	2041.15	1799.46	2240.3	1881.06	2368.11	2032.99	2781.78	2809.51	2278.15	1461.64	1952.18	1618.82	1781.76	1867.79	1707.57	1598.08	2479.14	1948.8	1703.87	1805.21	1740.54	2060.3	1863.1	1569.68	2166.93	1085.45	2022.94	1557.85	1378.72	2175.83	1308.34	1402.16	2384.25	1727.6	1833.91	1809.42	1490.4
2213.18	1653.55	2133.04	1779.17	1852.77	2168.21	1816.93	1629.78	1778.41	1628.46	2558.61	1614.515	1806.59	1747.39	2784.53	1723.52	1508.05	3013.03	2589.37	3435.69	2368.28	2144.91	1814.54	1437.61	1546.48	2200.43	1976.53	2764.31	2079.07	2512.24	1894.77	2923.19	1240.65	1936.72	1568.88	2382.64	1339.86	1861.7	2044.49	2672.43	2119.62	1929.55	1840.61	1781.55	1902.5	2174.67	1466.51	2217.77	1575.93	2419.09	1591.31	2643.49	1912.17	2513.77	1783.82	1881.59	1641.34	1514.82	1859.1	1815.62	1983.79	1894.12	1541.29	1580.51	1409.09	1708.79	1497.92	2096.25	2324.3	1832.36	1204.99	1988.57	2484.33	1676	2602.17	1892.88	1429.16	1897.99	2010.91	2202.72	1709.88	1890.84	2060.37	1406.37	1833.76	1752.24	1627.42	2766.22	2239.73	2691.53	2629.46	1846.95	2232.76	2063.62	1582.67	2300.35	2118.33	1415.06	1393.76	1465.8	1936.92	1665.41	2056.88	2364.98	1859.83	1788.98	1327.38	1453.8	2018.89	1752.4	3522.72	1782.48	1673.32	1403.405	2546	1733.22	2203.99	2022.38	1711.7	3249.95	2163.73	1875.17	1737.78	2072.58	3366.05	2053.42	2960.79	1586.02	1576.92	1972.37	1347.15	1523.33	1686.38	1608.96	1951.52	1331.47	2248.14	2816.7	2398.11
