NL1179	NL1675	NL1698	NL1884	NL2378	NL2562	NL268	NL279	NL3104	NL3681	NL4083	NL4353	NL504	NL6084	NL6853	NL6943	NL7530
-85.39	-9.29	4.91	-68.32	46.42	-84.01	-57.94	-78.6	-103.24	-68.55	-71.15	-53.49	-77.51	-40.86	-79.35	-73.32	-9.6
-40.67	-70.45	9.7	-73.71	-17.58	-25.02	-16.24	-82.29	-21	-26.06	-5.28	-103.77	-18.72	-42.69	-38.25	-59.09	-16.16
1334.61	1444.64	1332.11	1415.87	1348.01	1497.64	2038.31	1575.71	1160.26	1249.08	1392.62	1383.47	1140.64	1275.94	1736.31	1684.02	1412.03
1532.8	1519.57	1687.37	1729.69	1630.89	1539.12	2024.81	1653.02	1478.91	1610.28	1603.74	1693.21	1911.49	1568.18	1940.29	1656.25	2012.04
-23.79	-26.19	15.46	-35.24	-33.77	-2.83	-18.02	13.8	-8.2	-20.96	-14.46	-30.72	-18.04	-10.54	-15.24	-2.16	-3.98
3433.42	2810.55	2724.58	3367.1	2918.28	3329.7	2746.11	3449.01	3094.7	3441.65	2972.68	2852.23	2453.1	3286.75	2237.74	3211.31	2996.87
2194.4	1991.52	1096.89	680.51	3470.46	840.24	901.75	700.36	833.61	874.31	1018.02	1428.08	260.97	1508.08	339.08	483.25	1111.39
-38.98	-41.47	19.3	-56.79	-57.63	-32.41	-26.89	-24.09	-54.56	-48.15	-21.97	-51.92	-36.48	-34.43	-53.87	-21.93	-20.85
1674.76	1891.08	1470.52	1872.59	1850.47	2388.76	2378.42	1953.36	1363.83	1839.06	1632.95	2009.43	1820.27	2036.45	2155.72	1713.24	2050.42
576.56	242.38	620.68	503.83	730.29	445.54	336.58	333.1	251.09	430.35	235.69	531.99	126.62	498.56	329.2	255.15	147.02
-10.27	-15.73	37.53	-22.93	-8.2	10.5	-3.83	26.74	19	-15.86	15.59	-26.8	-21.45	2.32	1.2	18.4	-5.85
-30.54	-37.45	20.26	-42.17	-35.48	-24.28	-29.55	-22.24	-17.8	-50.7	-21.14	-40.93	-37.17	-1.35	-43.18	-33	-24.6
1405.13	1085.59	563.66	347.9	2659.63	414.64	371.81	498.16	455.84	420.81	630.37	694.05	160.79	782.7	215.7	246.43	564.53
-24.63	-20.55	26.98	-2.91	-64.45	-14.67	-19.79	-19.47	7.8	-20.11	-6.12	-13.45	-19.4	-11.46	-4.55	-16.39	5.4
158.52	206.67	96.06	71.9	84.03	120.87	89.22	193.23	125.77	124.53	77.49	23.43	112.97	51.06	46.4	141.05	76.66
26.92	36.55	82.63	69.58	44.71	62.53	53.79	163.62	43.84	47.91	81.67	28.92	28.38	56.58	34.07	50.83	71.04
50.62	231.82	106.61	220.26	48.13	200.93	26.32	359.06	39.03	104.94	46.52	13.23	100.01	46.46	98.17	103.05	50.4
1436.99	1219.34	1218.71	1622.69	1260.12	1280.7	1560.71	1449.5	1209.6	1419.07	1471.24	1310.95	1650.92	1232.23	1150.28	1166.35	1650.04
678.37	824.97	758.94	597.3	607.56	686.45	1123.73	765.23	673.53	534.99	570.16	747.83	596.83	637.19	565.71	686	555.11
1019.61	747.59	1348.49	799.83	1106.8	1436.94	568.58	1118.55	1510	1134.6	981.09	1012.68	541.91	1153.62	1797.06	1607.46	689.94
1131.01	1169.7	808.93	1028.39	924.23	898.78	906.08	904.04	924.19	986.3	996.39	909.2	1939.34	1060.63	775.59	830.1	941.84
-7.74	-14.92	50.97	-15.23	-24.4	2.35	-10.92	15.64	15.8	-20.96	-1.94	-15.81	-23.5	-4.11	4.49	4.96	1.65
-18.72	-43.08	20.26	-22.93	-34.62	-35.36	-10.92	-6.54	-33.79	-39.65	-31.15	-40.14	-37.85	-20.65	-27.57	-57.51	-6.79
842.65	1630.75	1083.91	2307.07	1393.13	960.49	857.47	435.09	825.1	1071.74	1330.5	2520.94	498.24	823.82	844.26	858.95	466.57
78.59	38.15	58.64	55.68	66.07	90.15	59.99	127.53	102.44	81.95	91.73	60.31	78.86	101.7	83.38	95.93	77.6
5572.33	6359.42	4191.62	4311.27	6394.7	4479.83	3581.01	3449.52	2400	3474.77	4390.76	6020.6	2078.51	5011.29	2550.17	2608.41	6077.67
5223.7	6434.96	3485.4	4443.84	6454.88	3698.59	3138.85	2770.57	2842.77	4176.44	3835.4	5247.93	1911.49	5116.46	2236.98	2246.34	6046.89
5838.49	6473.21	4711.85	4533.24	6822.99	4064.97	3777.51	3282.52	2684.47	3829.54	4149.64	6206.78	2132.56	5043.38	2760.57	2572.2	6353.19
-27.16	-35.84	29.86	-36.01	-29.51	-14.67	-18.02	-0.07	-28.99	-31.15	-13.63	-33.86	-19.4	-15.14	-15.24	-6.9	-3.98
60.78	25.29	94.14	46.42	43.86	76.7	-2.94	24.89	57.47	34.3	64.92	58.74	-9.16	73.15	90.77	66.66	65.41
-16.19	10.81	57.68	-9.84	-6.49	3.09	5.93	29.51	-2.61	5.39	11.41	14.01	22.92	6.92	3.66	16.82	23.21
-13.65	-26.19	32.74	-21.39	-20.99	2.35	0.61	13.8	6.2	-20.96	-2.78	-15.81	-16.67	-6.87	-7.84	4.96	7.27
228.7	203.43	209.22	290.13	218.16	330.01	261.62	163.62	318.68	238.15	253.46	243.74	175.84	275.49	217.34	259.91	173.3
54.01	63.09	92.22	51.82	57.53	26.08	79.48	130.31	63.09	20.7	88.38	15.58	72.03	48.3	19.28	61.12	135.76
198.69	355.25	234.13	324.11	236.34	172.12	324.24	238.6	163.66	253.57	225.54	206.6	446.41	218.03	184.46	261.5	222.12
33.69	80.79	90.31	96.64	63.51	23.85	47.59	35.98	73.52	24.95	42.33	56.39	62.49	30.82	47.22	69.03	119.81
77.74	18.85	54.81	53.37	66.93	81.93	42.27	60.94	74.32	19	47.35	37.55	24.97	77.75	38.18	29.48	52.28
389.97	-82.53	33.7	-96.77	115.73	-226.24	279.27	1025.78	-12.2	1200.57	-72.82	-9.53	626.7	835.31	1.2	-284.36	97.3
31.15	65.5	141.14	71.9	48.13	70.73	52.02	68.34	96.01	67.48	110.18	49.32	20.87	122.9	44.75	50.83	37.28
47.23	38.96	59.6	35.62	27.63	51.36	65.31	64.64	93.6	33.45	33.14	25.78	29.74	83.28	57.9	59.54	67.28
43	26.9	97.98	18.66	36.17	51.36	25.43	41.53	50.25	53.01	55.72	72.08	33.15	48.3	38.18	19.19	32.59
-34.76	-72.06	-13.33	-56.02	-57.63	-52.34	-36.65	-23.17	-20.2	-46.45	-43.65	-49.56	-23.5	-36.26	-52.22	-40.91	-26.48
229.56	172.69	189.09	164.11	240.67	255.13	157.37	179.35	190.32	217.6	239.07	296.87	146.43	247.67	245.3	190.15	171.42
1974.98	780.36	1676.82	764.04	773.31	2408.14	340.11	1562.46	1775.51	2064.04	1498.67	1672.95	1040.42	1503.23	2426.54	2185.57	762.58
99.8	103.33	145.94	126.07	78.9	108.87	171.52	170.09	100.03	139.88	90.89	104.27	124.58	113.68	83.38	108.59	88.86
47.23	-7.68	54.81	4.79	-2.23	33.51	14.79	30.43	30.22	1.14	10.58	14.01	-3.02	31.74	-0.44	12.08	32.59
273.46	231.01	513.21	304.34	162.1	365.89	495.78	376.67	394.86	444.25	312.89	273.85	409.06	295.91	902.19	508.75	360.25
-75.27	-51.93	6.83	-68.32	-53.37	-71.5	-27.77	-45.34	-56.16	-71.09	-67.82	-67.63	-52.89	-68.4	-51.4	-49.6	-52.72
41.31	36.55	118.13	2.48	47.27	56.57	45.82	84.98	87.17	59.82	60.74	57.96	36.56	63.94	91.59	33.43	63.53
49.77	3.57	73.04	-1.37	45.56	15.69	83.91	48	26.21	53.87	61.58	70.51	15.41	86.04	13.53	10.49	34.46
-17.03	-26.99	38.49	-16.77	-14.17	-6.53	-7.37	1.78	-8.2	-18.41	6.4	-19.73	-5.06	18.87	-14.42	0.21	-3.04
-32.23	-36.64	28.9	-26.78	-30.36	-18.37	-14.47	-5.61	-37.78	-42.2	-28.65	-2.47	-35.8	-22.49	-26.74	-17.98	-33.04
4.94	16.44	50.01	-28.32	13.13	-32.41	17.45	-33.33	-15.4	-14.16	-16.13	17.15	48.84	38.18	-41.54	8.12	35.4
999.42	1098.75	1008.59	1318.23	719.12	694.79	543.16	1554.5	746.13	1168.94	1269.36	1180.69	868.42	975.64	796.27	814.88	1378.47
1828.38	1454.47	952.57	1387.52	1243.2	1566.81	1532.28	1320.81	1506.55	1553.37	1443.81	1272.15	1985.09	1575.92	1377.5	1044.82	1477.15
347.16	370.1	308.82	481.09	231.14	217.67	136.14	309.93	495.57	424.28	410.3	305.62	239.63	392.75	176.24	277.36	657.87
-14.5	-18.95	44.25	-23.7	-18.43	-5.79	1.49	11.95	-9.8	-26.06	1.39	-19.73	-8.48	0.49	-11.95	9.7	13.84
79.43	31.72	96.06	39.48	90.88	105.87	38.73	84.06	78.34	77.69	72.46	107.42	27.7	101.7	81.73	77.73	53.22
159.38	213.97	167.04	234.34	133.74	125.38	221.01	442.51	179.81	232.15	215.4	103.49	309.33	188.44	131.86	183.02	220.24
-24.63	-29.4	10.66	-26.01	-28.66	-8.01	13.02	31.36	-17	-37.1	-41.15	-21.3	-24.19	-3.19	-22.63	-6.11	-3.04
674.7	400.71	599.79	510.34	649.74	731.63	278.39	518.57	854.08	1092.97	1048.7	1243.37	531.14	821.9	622.68	571.76	1052.1
-2.67	9.2	49.05	19.43	17.39	13.47	24.54	27.66	10.2	10.49	14.76	7.74	-11.21	11.52	3.66	34.22	41.96
-10.27	-2.86	49.05	-14.46	3.74	7.54	-0.28	8.25	19.8	-13.31	0.56	-3.25	-14.62	9.68	3.66	6.54	11.02
32	6.79	62.48	1.71	3.74	11.98	23.66	39.68	28.61	0.29	5.57	-0.9	12	30.82	3.66	11.29	22.27
9.16	10.81	76.87	79.62	369.95	6.8	13.91	23.96	68.7	93.02	113.54	-24.44	-25.55	163.5	109.67	-55.93	447.74
22.69	20.46	18.34	38.71	-8.2	17.92	79.48	48	31.02	-16.71	10.58	-13.45	78.17	-4.11	-16.06	-26.67	8.21
-19.56	-6.88	26.02	17.89	49.84	41.68	15.68	35.98	12.6	7.09	59.07	-29.15	15.41	-4.11	34.89	13.66	41.96
46.39	19.66	67.28	14.04	37.02	43.17	39.61	52.62	28.61	40.26	26.45	19.51	9.27	42.78	50.51	27.1	26.02
-39.83	-47.11	20.26	-56.79	-48.26	-30.93	-16.24	-25.94	-52.16	-35.4	-36.98	-44.07	-35.12	-42.69	-23.46	-31.42	-16.16
129.56	67.91	124.84	103.6	102.01	158.52	71.51	150.66	121.75	73.44	161.44	59.52	100.69	117.37	109.67	104.64	133.89
22.69	11.62	64.4	14.04	35.32	54.33	41.39	38.75	43.84	7.94	27.29	9.31	27.01	44.62	40.64	37.39	42.9
67.56	-14.92	70.16	4.02	9.71	106.62	42.27	59.09	99.23	29.2	43.17	14.01	-25.55	10.6	82.55	56.37	3.52
155.96	179.16	145.94	131.49	150.92	89.4	152.94	184.9	187.08	111.75	158.91	123.13	212.15	162.57	174.6	164.01	152.65
-17.87	-21.36	32.74	-11.38	-15.87	-2.83	-5.6	11.95	19	-17.56	2.23	-21.3	-19.4	4.16	-0.44	-21.14	10.09
-15.34	-25.38	26.98	-26.01	-18.43	-11.71	-5.6	1.78	-10.6	-27.76	-11.13	-25.23	-15.31	-11.46	-17.7	-8.49	-4.92
26.08	32.52	82.63	50.28	27.63	44.66	21	45.22	57.47	18.15	46.52	43.05	20.19	39.1	36.54	33.43	59.78
7.47	18.05	76.87	15.58	-3.93	14.21	36.07	50.77	16.6	3.69	23.11	7.74	-3.02	39.1	14.35	32.64	52.28
-18.72	-2.05	34.65	27.91	-26.1	-0.61	-2.94	31.36	-17.8	-9.91	-0.28	8.52	-7.11	-7.78	-12.77	1.79	-20.85
2927.45	4313.34	2368.54	1504.84	6160.56	1810.8	1311.92	1437.86	2891.09	3062.15	1775.89	1769.71	513.23	4286.62	1402.91	947.9	2316.53
-0.13	-10.9	69.2	9.41	-3.08	20.88	36.95	47.07	23.81	-3.11	26.45	-10.31	3.81	21.63	-6.2	-18.77	33.53
-112.37	-126.02	-9.49	-135.98	-138.53	-102.4	-65.04	-113.7	-166.22	-124.62	-108.62	-113.21	-70.67	-135.4	-131.14	-111.27	-88.33
1288.09	1064.97	1053.26	1162.81	926.15	1102.54	573.83	1166.15	1120.48	1353.14	1223.8	777.43	1558.23	1304.12	965.08	935.88	1311.2
-17.87	-31.01	34.65	-26.78	-16.72	-1.35	-10.04	13.8	-7.41	-26.06	5.57	-22.09	-19.4	-9.62	-7.02	1.79	6.33
117.65	92.86	145.94	91.22	120.87	129.14	119.32	158.06	92.8	133.91	138.73	120.77	191.59	122.9	135.97	132.34	128.26
-21.25	-29.4	44.25	-21.39	-20.13	-13.19	-9.15	3.63	1.39	-22.66	-0.28	-21.3	-15.99	-5.03	-10.31	-7.7	-3.98
12.55	19.66	63.44	37.94	14.83	19.4	15.68	26.74	76.73	-0.56	23.95	6.17	37.25	35.42	14.35	36.59	14.77
12.55	-12.51	46.17	-0.6	6.3	32.76	19.23	23.96	39.83	8.79	10.58	-3.25	2.45	18.87	10.24	3.38	23.21
166.2	123.47	301.17	203.07	109.73	443.96	109.59	273.8	188.7	248.43	111.86	186.09	114.34	212.48	426.36	301.96	96.36
26.08	16.44	118.13	28.68	10.57	59.55	32.52	56.32	29.42	40.26	49.86	51.68	-5.75	30.82	75.16	28.69	33.53
3598.7	4631.99	3377.66	2710.89	4509.96	2231.98	2379.18	2113.91	2254.2	2754.1	2253.26	3490.71	867.65	4032.67	1434.83	1409.36	3861.48
32.84	54.24	35.61	56.45	39.59	1.61	32.52	37.83	68.7	27.5	64.92	28.14	-7.8	51.06	47.22	70.61	47.59
30.31	-12.51	80.71	0.17	13.98	16.43	19.23	28.58	41.43	7.94	21.44	-11.88	27.7	46.46	-5.38	11.29	19.46
-12.81	-26.99	50.97	-3.68	17.39	25.34	2.38	3.63	4.6	-14.16	8.91	-22.09	3.81	8.76	0.38	18.4	5.4
478.16	151.69	534.16	172.67	394.66	366.67	77.71	362.77	362.04	486.92	325.67	374.27	65.9	553.12	301.23	269.43	360.25
9.16	-33.43	36.57	-16	-26.95	-5.05	-24.23	-7.46	11	-36.25	-7.79	-15.81	0.4	-13.3	-18.52	5.75	-6.79
-45.74	-61.59	113.33	-57.55	-12.46	-15.41	26.32	-46.27	-0.21	-21.81	-26.14	53.25	-22.14	-28	-9.48	75.36	-46.16
410.15	433.96	392.98	256.3	753.64	369.8	101.62	272.87	432.73	407.8	297.59	492.05	312.79	441.36	232.14	311.49	239.96
21	34.13	77.83	40.25	37.88	18.66	48.47	32.28	78.34	23.25	85.86	54.82	10.64	36.34	58.72	66.66	79.48
5.78	25.29	56.72	-5.99	68.64	-0.61	2.38	17.49	3.8	-15.86	15.59	-2.47	-16.67	33.58	-9.48	10.49	42.9
-33.92	-26.19	27.94	4.02	-19.28	-22.07	453.62	-7.46	-13.8	-37.1	-23.64	-23.66	-11.21	-6.87	-23.46	-26.67	14.77
92.16	47	100.86	81.94	56.67	75.96	40.5	72.96	54.26	30.05	38.15	73.65	49.53	84.2	40.64	64.28	41.96
30.31	52.63	71.12	51.82	38.73	74.46	36.95	74.81	89.58	30.05	69.95	42.26	31.79	61.18	55.44	41.34	53.22
78.59	28.5	98.94	50.28	64.36	71.48	60.88	72.04	69.51	31.75	45.68	53.25	20.87	66.7	28.32	37.39	77.6
-258.94	-242.12	-68.99	-227.38	-294.23	-259.85	-100.54	-129.4	-288.82	-201.93	-272.36	-122.64	-147.34	-240.87	-47.29	-205.34	-127.69
202.11	180.77	153.61	110.57	206.06	244.4	158.25	207.12	304.81	180.84	295.89	130.21	123.21	247.67	196.79	145.01	225.88
179.01	151.69	68.24	46.42	227.68	158.52	91.88	190.46	200.83	126.24	160.6	66.59	168.31	139.5	139.26	187.78	167.67
2924.1	2163	2816.25	1609.78	2690.64	4205.34	150.29	814.32	2379.36	2441.83	2381.65	3176.52	498.24	3838.15	4163.79	720.4	870.16
-21.25	-35.84	22.18	-11.38	-7.34	-13.19	-12.7	23.96	-5.81	-37.1	-11.13	-27.58	4.49	9.68	-27.57	4.96	-0.23
39.61	10.81	26.98	-44.48	-21.84	52.1	21.89	56.32	-13.8	-37.95	44.01	-20.52	27.01	-10.54	-7.02	5.75	-2.1
15.93	-14.12	50.01	-3.68	-1.38	9.76	5.04	32.28	27.01	-3.96	8.91	-3.25	5.86	11.52	3.66	1	22.27
-1.82	18.05	58.64	17.12	38.73	16.43	3.27	36.9	32.62	15.6	59.07	-12.67	33.15	28.06	20.92	32.64	46.65
61.63	5.99	51.93	-12.92	35.32	57.31	48.47	64.64	74.32	33.45	27.29	10.09	25.65	28.98	9.42	4.96	26.96
409.27	214.78	227.42	395.73	185.35	279.72	190.08	208.97	236.48	162.91	175.75	257.2	181.31	165.34	184.46	294.02	126.38
-23.79	-44.69	29.86	-29.09	-26.95	-27.98	-16.24	-0.99	-7.41	-26.06	-13.63	-30.72	-26.92	-8.7	-18.52	-8.49	-11.48
-1.82	10.01	60.56	16.35	8.86	21.63	35.18	57.24	35.02	8.79	19.77	-0.9	6.54	18.87	17.64	26.31	25.09
32	33.33	64.4	24.06	28.49	35.74	-2.94	19.34	44.64	8.79	30.63	17.94	9.27	28.06	12.7	23.15	17.59
140.62	160.57	145.94	141.58	137.18	179.69	67.08	113.65	154.78	108.34	185.02	142	96.59	117.37	139.26	186.19	109.49
1432.01	599.64	871.02	575.03	867.83	1338.97	266.92	725.38	1160.26	1305.24	1010.81	1480.14	823.4	1234.17	1145.33	1425.13	572.07
235.57	179.97	178.54	275.95	261.5	394.93	74.17	176.57	238.1	266.44	228.92	421.66	153.95	241.18	265.04	522.3	86.04
1.56	0.36	67.28	7.87	-4.79	21.63	54.68	11.02	-1.81	-10.76	44.84	2.24	10.64	28.06	8.6	21.57	14.77
22.69	-1.25	46.17	37.16	38.73	58.8	31.64	68.34	44.64	19	23.11	36.77	52.25	39.1	22.57	-12.44	59.78
-10.27	-23.77	42.33	-37.55	-20.99	-10.23	-8.26	5.48	-3.41	-26.91	-5.28	-26.8	-3.7	-6.87	-25.92	-17.18	-3.04
232.99	31.72	304.04	23.29	165.54	170.61	27.2	171.95	409.66	395.68	278.9	466.09	80.22	459.15	163.91	531.07	42.9
7.47	26.09	41.37	26.37	2.89	3.09	19.23	35.06	15.8	-14.16	11.41	-4.82	49.53	9.68	-5.38	-2.95	5.4
59.09	67.11	92.22	100.51	74.62	105.87	75.94	57.24	58.27	58.12	59.9	78.36	71.35	71.31	74.34	66.66	52.28
-28.85	-63.2	-45.96	16.35	-85.74	-226.97	-120.07	-216.2	-225.95	-60.05	-184.3	-139.94	-74.77	-168.42	-99.9	-66.21	-96.77
-9.43	-8.49	72.08	-12.15	13.98	20.88	27.2	47.07	43.84	7.94	42.33	-4.82	-0.97	27.15	10.24	12.87	20.4
37.08	16.44	68.24	20.2	57.53	72.22	15.68	51.7	59.07	0.29	50.7	3.81	-7.11	26.23	19.28	31.06	42.9
-24.63	-16.53	5.87	-32.93	-26.1	-11.71	-6.49	-0.07	-12.2	-27.76	-9.46	-22.09	-33.07	-15.14	-18.52	2.59	-8.66
-51.64	-10.9	31.78	-53.71	-69.56	33.51	-16.24	-8.38	5.4	-37.1	-42.82	-18.95	-46.05	-3.19	-7.02	-60.67	-10.54
-23.79	-27.79	42.33	-26.01	-20.99	-13.19	-8.26	2.71	-8.2	-26.91	-10.29	-25.23	-22.82	-13.3	-16.88	6.54	-11.48
220.97	313.36	133.47	320.94	262.37	243.63	54.68	418.4	259.22	350.74	401.72	249.28	331.53	366.63	134.32	144.22	224
-15.34	-31.01	32.74	-24.47	-26.1	-10.97	-11.81	7.33	-16.2	-32	-11.13	-22.09	-20.77	-8.7	-4.55	-7.7	-3.98
26.08	17.25	71.12	11.73	10.57	27.57	59.11	89.61	64.69	40.26	40.66	15.58	65.21	56.58	28.32	35.01	97.3
37.92	90.45	102.78	121.42	40.44	52.84	65.31	99.78	83.96	42.81	53.21	17.94	123.89	48.3	16.81	91.98	47.59
-18.72	-26.19	55.77	-23.7	-9.9	-4.31	-0.28	17.49	10.2	-18.41	1.39	-19.73	-13.94	-6.87	0.38	-20.35	10.09
-13.65	-38.25	48.09	-35.24	-25.25	-5.79	2.38	-2.84	-22.6	-22.66	-6.12	-33.08	-13.26	-13.3	-23.46	-16.39	-2.1
186.71	144.43	81.67	110.57	107.15	153.99	27.2	140.48	119.33	154.38	106.82	186.09	137.55	145.96	138.43	149.76	101.99
28.61	44.59	74.96	77.31	35.32	72.22	113.13	97	54.26	36.85	74.13	39.91	52.25	38.18	52.97	39.76	33.53
167.06	105.74	373.87	178.9	56.67	171.36	80.37	142.33	278.73	404.34	257.7	511.59	8.59	205.08	425.54	454.58	137.64
89.61	110.58	98.94	60.31	20.81	63.27	20.11	153.44	97.62	123.68	73.3	51.68	73.4	81.43	34.07	83.27	168.61
72.65	42.17	116.21	53.37	31.9	93.14	60.88	90.53	130.61	60.67	115.21	111.34	93.18	94.33	120.35	37.39	90.73
-21.25	-35.04	40.41	-33.7	-22.69	-4.31	-11.81	6.4	5.4	-25.21	-6.12	-24.44	-18.04	6.92	-1.27	-9.28	2.58
83.68	92.86	116.21	88.9	130.31	133.65	69.74	94.23	124.16	115.16	147.98	86.21	95.23	119.21	135.15	117.3	93.55
-56.71	-56.76	16.42	-55.25	-64.45	-53.07	-36.65	-22.24	-60.95	-54.1	-61.16	-42.5	-49.47	-54.63	-37.43	-21.93	-37.72
-16.19	-30.21	46.17	-48.32	59.23	-28.72	-5.6	6.4	12.6	-22.66	-21.97	-28.37	-21.45	17.03	-25.92	-5.32	-11.48
25.23	17.25	85.51	72.67	49.84	80.44	31.64	25.81	49.45	11.34	-7.79	8.52	30.42	21.63	12.7	54	-9.6
131.26	129.11	149.78	130.72	129.45	131.39	152.94	208.97	116.11	130.5	162.28	138.07	141.65	137.65	166.38	156.09	122.63
-28.01	-44.69	25.06	-19.85	-20.99	-22.07	3.27	-6.54	-20.2	-67.7	-42.82	-55.85	-13.26	-8.7	-15.24	25.52	-18.98
-7.74	-1.25	27.94	-10.61	-20.13	23.11	18.34	3.63	41.43	-11.61	24.78	4.6	-14.62	9.68	3.66	12.87	16.65
20.16	31.72	57.68	19.43	70.35	29.79	3.27	8.25	55.87	27.5	90.89	60.31	15.41	54.74	42.29	43.71	30.71
109.15	88.03	114.29	96.64	81.47	141.18	58.22	95.16	113.7	86.2	122.77	100.35	64.53	149.65	135.97	99.89	103.86
110.85	72.74	122.92	91.22	89.17	105.12	167.98	125.68	96.01	147.55	86.7	120.77	124.58	113.68	87.48	98.31	111.37
68.41	54.24	123.88	74.22	84.03	81.93	64.42	98.85	84.76	67.48	103.47	62.66	59.76	108.15	50.51	79.31	67.28
65.02	142.82	135.39	241.4	175.87	125.38	116.67	97	188.7	132.21	172.38	194.77	186.79	108.15	196.79	98.31	98.24
0.71	5.99	60.56	4.02	21.66	12.73	21	23.96	15	1.99	14.76	24.21	16.1	19.79	33.25	14.45	8.21
4.94	12.42	58.64	34.08	-5.64	18.66	24.54	49.85	26.21	-1.41	61.58	19.51	9.95	58.42	-0.44	38.18	34.46
-11.96	-26.99	50.01	-52.17	2.89	10.5	-5.6	1.78	-19.4	-12.46	0.56	-3.25	-26.24	10.6	-24.28	-19.56	14.77
117.65	54.24	135.39	94.32	96.02	115.62	51.13	73.89	120.14	80.24	132.01	112.92	55.66	111.84	82.55	95.93	75.73
94.71	104.94	165.12	133.82	89.17	136.66	58.22	118.28	154.78	88.76	111.02	130.21	95.23	98.01	118.71	117.3	88.86
125.3	71.94	169.91	116.77	104.58	171.36	58.22	134.01	153.17	87.91	133.69	170.33	42.7	111.84	113.78	133.92	101.99
41.31	54.24	63.44	30.22	39.59	40.2	29.86	29.51	59.88	50.46	34.81	43.83	17.46	57.5	13.53	52.42	35.4
103.2	63.09	141.14	92	84.03	82.68	95.42	132.16	106.46	83.65	93.41	94.07	61.12	94.33	85.02	55.58	134.83
24.38	18.85	67.28	8.64	25.93	24.6	22.77	33.21	24.61	27.5	22.27	10.09	19.51	13.35	16.81	47.67	5.4
5.78	-11.71	59.6	2.48	6.3	17.92	20.11	21.19	9.4	0.29	3.9	9.31	-1.65	23.47	13.53	4.96	15.71
-49.96	-59.98	9.7	-56.79	-34.62	-22.07	-16.24	5.48	-29.79	-23.51	-16.97	-37	-35.12	-6.87	-23.46	-25.88	-13.35
36.23	14.83	74	25.6	39.59	49.12	21	40.6	34.22	20.7	38.99	45.4	24.28	48.3	35.71	19.19	21.34
8.32	-19.75	64.4	-8.3	-2.23	9.76	-1.17	9.17	15.8	-22.66	2.23	-12.67	-1.65	9.68	1.2	26.31	20.4
182.43	69.52	198.67	58.77	69.49	203.97	21.89	169.17	116.92	160.35	86.7	241.37	76.13	143.19	151.58	148.18	91.67
-19.56	-22.16	33.7	-13.69	-8.2	-6.53	-3.83	13.8	-5.81	-15.01	3.9	-22.87	-13.94	-5.03	-3.73	5.75	10.09
202.11	268.42	160.32	333.62	173.29	291.28	68.85	156.21	256.78	191.09	151.34	144.36	214.21	88.8	199.26	390.93	97.3
