COID1429	COID2260	COID3580	COID4385	COID4518	COID9794	COID10	COID11	COID12	COID13	COID14	COID16	COID18	COID3	COID4	COID5	COID6	COID7	COID8	COID9
44.34	100.67	28.34	51.03	85.7	93.61	36.27	51.85	255.76	77.27	82.44	36.83	44.85	66.66	18.28	101.26	46.34	48.56	114.58	50.29
102.92	200.23	128.64	174.54	116.91	222.13	130.55	119.16	121.43	144.95	85.83	141.15	120.7	108.92	103.81	189.46	134.08	89.31	226.95	161.84
155.19	150.41	60.17	134.15	78.56	294.06	194.81	180.38	144.29	225.6	106.19	348.68	103.18	269.18	250.18	124.94	180.91	56.36	153.8	89.37
43.64	100.67	29.7	6.75	87.65	60.93	11.77	12.44	85.66	39.43	22.21	34.81	30.62	13.71	24.92	69.42	23.36	42.5	65.61	-5.37
-62.75	-48.16	-83.2	-36.76	36.34	-49.48	-59.03	-73.13	-128.41	-78.03	22.21	-37.61	-74.01	-83.6	-99.54	-21.98	-36.94	-2.56	-128.07	-67.47
174.28	214.48	217.68	133.38	163.11	216.76	137.8	166.77	129.81	153.81	204.56	259.57	237.29	184.34	176.96	223.76	135.52	164.8	136.86	203.22
21.08	44.79	-14.27	12.97	62.31	40.94	-6.38	13.12	11.17	-0.81	30.69	21.39	-3.65	26.75	3.34	57.99	-8.24	8.7	26.47	1.86
357.05	292.92	195.22	342.96	131.22	320.33	356.24	382.66	328.55	270.8	263.04	159.38	494.61	700.95	484.46	365.06	558.17	208.22	129.73	339.4
9.09	185.99	29.7	170.66	105.21	98.95	155	95.36	116.1	273.22	217.28	34.81	98.64	98.93	48.99	253.17	34.13	201.27	165.39	6.19
-24.73	18.21	-32.53	-1.8	14.92	6.33	-19.08	-5.22	-13.13	-28.17	12.88	-30.24	-17.86	1.44	-22.39	16.37	-36.22	-11.22	16.69	-31.37
37.29	137.08	89.3	245.97	77.91	50.27	19.03	368.34	135.14	0.8	39.18	50.26	-24.32	1.44	3.34	71.05	59.28	26.03	152.01	-9.7
2880.27	2949.58	3704.72	2507.14	1199.02	2267.09	1718.53	1618.72	3343.37	3674.11	1648.83	385.54	1733.71	3304.36	3760.7	2293.09	2530.65	1341.81	2659.19	2060.44
-12.75	37.7	-13.6	-16.56	36.34	-24.91	-12.73	11.76	-24.51	-18.51	-21.06	-20.19	-23.03	-10.83	-48.94	53.09	16.17	13.04	55.82	-31.37
3.45	68.72	4.66	29.28	68.81	38.28	15.4	12.44	18.76	10.45	58.69	29.44	0.23	20.61	5.83	71.05	-8.24	19.97	-7.32	12.7
146.71	271.51	191.14	268.48	228.9	360.8	128.74	174.26	132.86	152.2	264.73	123.62	197.48	263.78	168.64	260.52	229.24	234.28	243.92	156.76
-43.74	49.22	-33.2	13.74	51.92	-0.98	-15.45	11.76	-30.59	-32.19	21.36	-10.14	-34.65	14.48	-9.94	41.67	14.74	-7.75	1.57	-29.93
-22.62	82.03	-11.57	-15	55.17	42.27	11.77	-30.35	-19.2	23.33	1.85	36.16	-19.8	-26.16	-28.2	72.68	62.15	-3.42	32.69	4.03
-12.75	11.12	-14.95	0.53	20.11	31.62	-5.47	-5.22	48.4	-14.49	16.27	-6.79	-32.71	9.87	-4.13	33.5	-26.18	11.3	58.49	-15.48
9.8	55.42	-6.16	-3.35	48.68	30.95	2.7	2.93	19.52	-9.66	17.97	24.07	-10.76	9.11	0.02	46.56	3.25	11.3	28.25	-4.64
84.56	243.88	109.64	83.66	79.85	174.52	136.89	60.69	82.61	188.49	229.14	182.35	186.4	90.47	188.6	126.57	81.56	88.44	92.32	225.02
22.49	70.5	8.72	33.17	72.71	76.26	29.01	19.24	20.28	35.4	46.81	42.2	9.92	29.05	31.56	55.54	9.71	35.56	61.16	19.92
-22.62	-11.01	-40.64	-13.45	64.26	25.63	-19.08	-28.31	-33.62	-39.43	8.63	-17.51	-49.5	-17.73	-92.91	37.59	11.87	8.7	95.88	-33.54
-14.16	141.52	-37.26	57.25	106.51	-36.2	33.55	2.93	102.4	16.89	53.6	36.83	19.62	57.45	-29.86	72.68	46.34	38.16	75.4	-8.98
1043.64	2762.97	654.28	1512.63	1072.58	3117.65	2279.13	753.66	1995.09	3202.51	202.87	141.83	1366.65	1361.25	888.49	3067.99	1497.02	962.58	1799.95	774.28
24.6	67.84	6.69	23.84	70.76	52.93	13.59	29.43	-0.98	12.06	64.63	32.13	15.74	29.82	17.45	60.44	8.28	7.84	35.36	-2.48
96.56	55.42	155.12	76.67	59.07	68.93	29.01	121.88	109.25	23.33	112.13	145.88	167.51	121.22	256.84	173.94	33.41	82.37	25.58	58.97
341.44	416.22	545.14	313.48	365.86	376.33	181.25	308.38	503.38	229.63	323.18	414.93	483.34	470.55	693.24	433.62	261.02	228.19	272.51	243.93
170.04	197.56	213.59	94.54	211.3	165.81	127.83	187.86	101.64	233.67	223.21	125.64	238.59	164.31	107.97	116.77	144.88	242.09	87.87	180.7
7.68	29.72	-18.33	-9.57	48.03	-0.98	-10.91	26.71	-29.83	-5.64	21.36	-22.87	-22.38	-7.76	-13.26	26.98	-6.08	-1.69	9.57	-14.76
179.94	282.22	233.34	130.27	237.37	266.47	116.06	230.06	219.83	192.52	168.1	190.47	189	197.44	172.8	192.72	118.96	142.23	224.28	140.08
143.89	200.23	76.43	130.27	144.23	178.54	130.55	115.76	87.18	169.94	108.74	100.71	137.6	112	194.42	132.29	110.33	124.88	97.66	171.27
14.73	34.15	-6.16	-4.9	36.99	31.62	2.7	7.01	-0.22	2.4	34.93	18.7	-14.63	-16.96	-12.43	66.97	-3.21	19.1	16.69	-21.26
26.72	74.93	16.84	13.74	57.77	47.6	19.94	22.63	27.12	32.99	42.57	28.77	20.91	36.72	7.49	45.75	-2.49	26.9	49.59	1.86
21.08	63.4	-6.16	9.86	73.36	54.93	10.87	12.44	53.72	10.45	49.36	10.65	0.23	30.58	4.17	46.56	-6.08	24.3	73.62	-0.31
237.26	230.51	242.19	154.35	222.38	265.12	134.18	348.58	72.72	245.77	179.97	141.83	251.66	286.18	249.35	218.86	266.08	91.91	80.74	288.34
97.27	34.15	55.42	-8.01	541.98	6.33	-1.84	351.99	3479.61	-20.12	20.51	59.67	1370.02	-11.59	-18.24	49.01	654.77	-1.69	2295.36	-84.07
21.08	50.99	6.02	5.97	66.21	60.26	17.22	23.99	-21.48	25.74	34.93	38.84	10.57	30.58	8.32	59.62	-9.67	27.76	37.14	12.7
-147.18	-169.12	-86.57	-130.77	-156.7	-186.57	-146.21	-89.42	-186.76	-179.32	-100.81	-191.99	-170.63	-146.34	-143.5	-94.58	-126.58	-119.4	-143.15	-176.39
44.34	63.4	-32.53	12.97	20.76	7.66	5.42	58.65	67.4	36.21	57.84	-27.56	7.34	-6.99	-50.6	4.94	191	11.3	93.21	-2.48
127.64	329.52	57.46	318.92	126.67	213.4	150.48	89.92	88.7	207.04	64.63	85.23	180.54	118.15	70.58	234.38	80.84	65.03	167.17	79.23
153.07	210.92	175.5	131.82	248.45	212.73	120.59	172.21	154.96	152.2	192.69	253.46	149.3	178.95	166.15	219.68	140.56	174.35	50.48	142.25
148.13	273.3	106.93	192.4	136.43	176.53	161.34	100.8	136.67	146.56	146.9	122.27	165.56	101.23	152.85	228.66	88.03	123.14	69.17	134.28
196.21	348.28	161.91	415.05	271.27	529.42	449.48	234.15	538.2	565.21	294.38	356.87	243.82	244.48	390.17	397.71	245.13	261.21	332.4	219.2
148.13	185.99	68.29	96.09	135.77	153.09	94.31	86.52	68.16	137.69	124.85	91.96	204	185.88	134.56	123.31	116.81	116.2	96.77	163.29
40.82	-15.43	20.9	-31.32	53.87	-25.57	-17.27	107.6	31.68	20.91	15.42	-4.77	-31.42	39.79	-38.16	-2.4	93.06	21.7	-12.65	-29.2
4.86	56.31	-3.45	9.08	47.38	48.93	6.33	30.11	11.17	-0.01	36.63	8.64	-8.82	25.98	-6.62	51.46	34.85	2.64	35.36	-10.42
237.96	53.65	249.69	25.4	512.65	170.5	6.33	394.93	3468.99	-19.32	35.78	58.33	778.44	13.71	7.49	66.15	781.84	-21.61	2718.46	4.03
91.62	187.77	99.47	128.72	139.68	174.52	91.59	96.04	125.24	128.02	115.52	102.73	110.97	100.46	150.35	168.22	86.59	94.52	140.42	124.86
32.36	121.09	92.69	21.51	117.56	131.69	34.46	41.66	68.92	78.88	63.78	198.58	71.4	24.45	0.85	75.95	19.76	32.96	49.59	13.42
198.33	221.6	195.9	170.66	165.71	233.54	170.39	183.78	235.88	311.19	193.54	318.03	166.86	149.69	245.18	284.21	132.64	157.86	324.35	182.88
-8.53	48.33	-21.03	12.97	44.13	18.97	-15.45	-30.35	-19.96	-28.17	16.27	-14.16	-14.63	-13.89	-29.86	28.61	-30.48	16.5	16.69	-4.64
18.96	18.21	-17.65	20.73	51.92	21.63	-12.73	-4.54	-14.65	-15.3	38.33	1.93	-12.7	-3.16	-6.62	34.32	9.71	12.17	45.15	-11.15
-130.3	-196.46	-123.03	-82.6	-47.32	-99.22	-70.83	-100.96	-226.9	-152.8	1.85	-118.55	-100.44	-211.33	-107.01	-91.31	-188.2	-41.52	-74.82	-94.17
174.99	83.8	126.6	86.77	140.33	153.76	41.71	70.89	120.67	68.41	131.64	105.43	159.7	112	77.23	147.8	81.56	45.96	46.93	70.55
111.39	111.32	113.04	152.79	152.04	238.24	89.78	98.76	110.01	99.82	164.71	79.85	95.39	93.55	63.94	180.47	96.66	119.67	160.93	72
4.86	63.4	-10.22	-3.35	43.48	43.6	-1.84	20.6	2.06	1.6	17.97	3.27	-0.42	-0.09	-12.43	38.4	-15.41	11.3	17.58	-6.09
40.11	35.92	-5.48	6.75	90.25	82.93	23.57	-1.14	68.92	-4.84	21.36	-6.79	-26.26	-13.89	-29.86	27.79	-26.89	4.37	41.59	-21.26
129.75	315.24	167.35	162.11	165.06	250.33	135.99	132.08	316.27	363.72	189.3	212.8	270.63	202.83	213.56	231.93	268.97	170.01	179.66	158.21
89.5	182.43	77.1	82.11	133.17	165.14	66.2	46.42	90.22	94.18	129.94	108.79	95.39	111.23	91.35	114.32	47.06	79.77	135.97	111.09
95.15	160.19	60.84	70.46	96.1	105.63	72.55	53.21	55.24	98.21	67.17	44.22	72.7	65.89	68.09	85.75	54.25	58.96	84.3	59.7
45.05	37.7	217.68	178.42	-99.78	208.71	62.58	241.64	120.67	140.11	24.75	54.29	-5.59	158.92	122.09	227.03	106.73	46.83	64.72	146.61
278.34	307.2	264.69	245.19	353.46	394.58	236.39	217.13	345.43	166.71	318.1	335.73	343.44	303.95	296.81	347.09	170.09	278.59	130.62	373.73
66.92	161.97	49.33	59.58	125.37	58.93	60.76	-50.04	162.58	-16.1	54.45	85.9	46.15	62.82	93.84	96.36	53.53	58.96	239.45	85.75
7.68	87.35	-23.74	0.53	57.77	119.66	-9.1	2668.76	1866.54	-12.08	22.21	3.94	-23.03	19.08	4.17	60.44	-22.59	1.77	1282.38	-18.37
35.88	50.1	-41.31	15.3	51.27	16.31	2.7	9.73	21.8	-21.73	4.39	27.43	0.87	30.58	26.58	53.09	-3.93	23.43	6.02	-5.37
-12.05	58.97	55.42	16.07	105.86	142.39	-46.32	57.29	-38.17	0.8	-7.48	-38.28	-46.91	6.81	-53.09	60.44	-57.74	16.5	100.33	-57.36
14.73	63.4	-0.75	-5.68	52.57	51.6	8.15	6.33	-3.26	8.04	24.75	14.01	-2.36	4.51	-7.45	49.01	-11.11	10.44	26.47	-4.64
302.43	351.85	417.9	409.63	494.39	562.71	397.54	311.79	894.91	895.37	338.41	89.27	389.51	525.72	308.48	563.26	408.1	484.58	318.09	583.64
33.77	81.14	21.58	18.4	76.61	59.6	21.76	39.62	20.28	16.89	34.93	34.81	25.44	23.68	12.47	53.09	-1.06	31.23	59.38	3.3
47.17	85.58	45.94	54.14	124.72	76.26	23.57	45.74	36.24	38.62	64.63	46.23	118.11	49	46.5	71.05	48.5	30.36	78.07	22.82
81.74	69.61	113.71	51.81	80.5	58.26	6.33	36.22	77.29	91.77	59.54	139.13	110.32	79.72	209.4	70.24	86.59	52.03	108.35	50.29
11.91	78.48	6.69	10.63	66.86	46.93	2.7	2.93	-6.3	8.84	35.78	18.7	-6.24	13.71	14.96	70.24	9.71	22.57	25.58	-1.03
77.5	113.1	68.97	51.81	90.9	76.93	65.3	81.08	11.93	59.55	94.32	110.14	127.85	98.16	67.26	101.26	79.4	90.18	55.82	91.54
59.16	137.97	38.5	56.47	136.43	85.6	81.62	66.13	76.53	121.57	103.65	60.34	61.04	98.93	77.23	83.3	52.09	87.58	124.38	91.54
59.16	98	54.07	82.88	294.75	238.24	52.6	162.01	408.48	176.39	149.45	52.28	8.63	20.61	19.11	79.22	39.16	343.77	251.96	37.27
88.8	73.16	78.46	13.74	63.61	64.26	34.46	84.48	156.48	39.43	51.05	51.61	71.4	72.81	39.03	67.79	15.46	40.76	78.07	9.08
315.2	344.71	117.11	367	160.5	253.02	346.35	144.32	145.05	354.02	143.51	252.78	241.21	341.86	320.97	206.61	246.57	83.24	355.66	271.59
117.75	97.12	29.02	-5.68	126.02	71.6	25.39	47.1	42.32	83.71	58.69	62.36	26.73	78.95	62.28	31.06	64.31	77.17	105.68	30.04
16.14	74.93	-9.54	12.97	54.52	50.27	17.22	0.22	9.65	8.04	41.72	20.72	-11.4	19.08	-14.92	54.73	-11.11	15.63	36.25	-10.42
204.7	71.38	220.4	166.77	109.11	406.07	252.64	120.52	269.53	85.32	41.72	147.9	459.51	82.79	127.08	88.2	19.76	52.9	67.39	109.64
12.62	51.88	-5.48	4.42	55.17	42.94	3.61	11.76	21.8	1.6	18.82	13.33	8.63	23.68	-6.62	24.53	12.58	12.17	56.71	-9.7
247.88	375.09	204.06	280.9	250.41	356.75	227.36	233.47	275.66	498.82	199.47	408.09	232.71	186.65	165.32	293.19	214.08	377.67	332.4	250.48
-178.82	-412.1	-119.66	-237.99	-233.6	-56.11	-103.52	-143.72	-316.26	-96.53	-99.96	-161.29	-107.52	-108.09	-95.4	-170.4	-87.87	-187.71	-138.72	-63.86
121.28	222.49	144.93	162.89	193.71	202.67	229.16	130.72	158.77	171.55	275.75	164.11	178.58	162.77	132.9	204.16	136.24	279.46	132.4	195.95
14.03	74.93	-10.22	5.97	58.42	52.93	17.22	34.19	16.48	16.08	31.54	-2.09	7.34	3.74	1.68	68.6	4.69	21.7	37.14	15.59
-1.48	59.86	-14.95	6.75	53.87	22.3	-3.65	10.41	-6.3	3.21	6.94	15.35	-27.55	-3.93	-4.96	48.2	3.25	8.7	2.46	-4.64
-24.02	43.9	-17.65	-93.48	7.14	9.66	5.42	-39.86	-61.69	-25.75	1	-18.85	-9.47	-54.5	-44.79	32.69	-46.98	-19.01	20.24	-53.03
97.27	194	117.78	67.35	101.95	112.98	39.9	59.33	73.49	45.06	95.17	91.96	44.85	103.54	132.9	102.89	89.47	130.08	30.91	83.58
-68.39	-13.66	-62.93	-24.33	-12.97	8.99	-28.16	-72.45	-35.9	-57.12	27.3	-34.26	-56.59	-71.35	-38.99	-8.11	-67.79	-35.46	-63.28	-61.69
10.5	74.05	-4.13	5.97	59.07	73.6	4.52	12.44	-0.22	1.6	35.78	15.35	-2.36	6.81	-0.81	46.56	-18.28	12.17	32.69	-3.92
63.39	89.13	21.58	51.03	93.5	85.6	29.92	36.9	33.96	55.53	64.63	62.36	29.32	60.52	46.5	80.03	29.1	40.76	15.8	37.27
21.08	55.42	-6.16	9.08	60.36	36.28	-1.84	3.61	21.04	14.48	32.39	26.76	-5.59	14.48	-11.6	35.95	12.58	18.23	22.02	-6.81
63.39	154.86	77.1	93.76	129.92	183.23	43.53	35.54	40.04	73.24	135.88	20.04	127.2	118.92	70.58	120.86	5.4	111.86	69.17	113.27
11.91	43.01	-10.22	-3.35	53.22	12.98	1.79	8.37	8.89	-4.84	23.06	9.31	-6.24	6.04	-1.64	49.01	-3.93	9.57	33.58	-5.37
279.76	276.87	348.02	247.52	305.84	171.17	245.42	381.29	369.25	324.92	152.84	407.41	225.53	367.4	307.64	319.33	187.39	195.19	156.47	603.54
73.97	154.86	73.71	56.47	128.62	98.95	54.41	62.73	113.05	91.77	95.17	191.82	58.45	80.49	64.77	90.65	54.96	54.63	126.17	64.04
64.1	177.98	55.42	58.8	114.96	94.28	64.39	85.84	292.51	50.7	130.79	63.7	72.05	82.02	117.11	111.87	31.97	93.65	78.96	58.97
-14.87	10.24	-48.07	-42.97	-6.48	-34.87	-30.88	-16.09	-6.3	-71.6	-36.33	-57.03	-73.36	-37.65	-61.39	-2.4	-31.2	-29.4	16.69	-55.2
-29.66	-80.86	-145.98	-32.87	-13.62	16.97	-29.07	-140.33	-3.26	5.62	44.27	-95.16	-46.27	-106.56	-53.92	-20.35	-91.45	4.37	-61.5	-21.98
67.62	107.77	103.54	85.22	80.5	120.33	39.9	45.06	89.46	37.82	81.59	97.34	103.18	77.41	97.17	102.08	44.9	75.44	44.26	86.47
313.07	246.55	251.05	179.2	480.04	191.94	136.89	255.25	467.84	288.57	349.42	477.96	321.76	348.82	332.64	302.99	199.65	449.82	519.53	382.51
68.33	136.19	28.34	212.59	30.5	100.29	16.31	38.94	162.58	58.75	108.74	-14.16	23.5	49.77	127.91	150.25	33.41	25.16	-0.2	79.23
-17.68	-18.09	-27.12	9.08	9.08	32.95	-10.01	-16.77	1.3	-31.39	37.48	-31.58	-21.09	-13.13	-43.13	58.81	-41.25	-7.75	-1.09	-8.98
128.34	223.38	98.79	152.79	162.46	163.13	95.21	115.76	188.52	87.74	169.8	164.78	135.65	152	111.29	162.51	98.82	195.19	75.4	158.21
